time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
11.91,1.100000024,30.0,24.21841621,0.13518016,-79.78139730999999,40.45804739,269.901381,0.001818717,0.0057308069999999,-0.255517989,0.96678561,-0.011720992,-0.002056999,0.02136827,-0.001022798,-0.000855775,-0.002080896,0.002787887,-0.127808686,-9.809609991
12.0,1.0,26.0,24.21591187,0.103373058,-79.78139725999999,40.45804739,269.9212322,0.001820324,0.005734264,-0.255517483,0.966785729,-0.010601731,-0.002735479,0.017813571,-0.00092985,-0.001341201,0.001970147,0.007594666,-0.114603718,-9.811798604
12.2,1.100000024,28.0,24.22092056,0.087469511,-79.78139723999999,40.45804739,269.9447002,0.001822942,0.0057332009999999,-0.255516618,0.966785967,-0.014149761,-0.005558928,0.019741536,0.000626274,-0.002842768,-0.001375207,0.008585163,-0.113843434,-9.811864092
12.4,1.0,29.0,24.22467804,0.095421284,-79.78139725999999,40.45804739,269.9466819,0.001822942,0.0057332009999999,-0.255516618,0.966785967,-0.014582866,-0.0055099969999999,0.019573736,0.000777643,0.00317382,0.002148689,0.00758569,-0.117149368,-9.811906192
12.5,1.0,29.0,24.22592926,0.095421284,-79.7813972,40.45804739,269.970797,0.001821871,0.005744824,-0.255519867,0.966785073,-0.008967228,-0.002900714,0.021167064,0.001516186,0.001670676,0.003706927,0.003567225,-0.12604788,-9.808860378
12.6,1.0,23.0,24.21591187,0.087469511,-79.78139721,40.45804739,269.9729275,0.001821871,0.005744824,-0.255519867,0.966785073,-0.010000255,-0.002890195,0.021238579,-0.003537014,0.00128916,-0.003637362,0.008130665,-0.119601553,-9.812159961
12.8,1.0,21.0,24.21966934,0.087469511,-79.78139716,40.45804737,269.9964456,0.001825873,0.005752905,-0.255520135,0.966784894,-0.005820778,-0.004576444,0.02171462,0.000910064,0.000117129,-0.00463401,0.006324404,-0.121926333,-9.811003382
12.9,1.0,21.0,24.21841621,0.095421284,-79.78139716999999,40.45804737,269.9986271,0.001825873,0.005752905,-0.255520135,0.966784894,-0.005574503,-0.004037985,0.021804513,0.000446194,-0.002139825,0.004755021,0.006568261,-0.123200697,-9.808222446
13.1,1.0,21.0,24.22467804,0.087469511,-79.78139713,40.45804737,270.0225586,0.001825864,0.005753896,-0.25552249,0.966784298,-0.0074104459999999,-0.00418623,0.022109572,0.001849571,0.001047951,0.004121876,0.0055132459999999,-0.119062038,-9.809239277
13.2,1.0,23.0,24.21466064,0.095421284,-79.78139707,40.45804736,270.0445384,0.001825761,0.0057556,-0.255524278,0.966783822,-0.008876956,-0.004525925,0.021821536,-0.002842936,0.001481004,-0.004140455,0.005533323,-0.126427693,-9.809853235
13.4,1.0,24.0,24.21466064,0.111324832,-79.78139709999999,40.45804736,270.0489478,0.001825761,0.0057556,-0.255524278,0.966783822,-0.009659153,-0.004497287,0.021846057,-0.001805621,0.00215192,-0.002458067,0.002025781,-0.127210973,-9.809300088
